Audio File | Reference | Transcription | WER
----------------------------------------------------------------------------------------------------
ACWT01a.wav | N/A |  I'm going to be asking you to do some talking. Yeah, well. How do you think your speech is these days? I, yeah. Ta-da, ta-da. Anything else? Do you remember when you had your stroke? Yes. It's 2000. | N/A
ACWT01a_116.781_0.86.wav | oh yes |  Yes. | 0.5000
ACWT01a_118.178_6.55.wav | turkey to china |  No, Terracotta China. | 0.6667
ACWT01a_126.379_0.5.wav | china |  China. | 0.0000
ACWT01a_127.379_3.55.wav | oh oh yes |  Oh, oh, yes. | 0.0000
ACWT01a_131.441_7.8.wav | up at beijing |  I thought, you know, | 1.3333
ACWT01a_142.142_2.17.wav | yes yes oh |  Yes, yes. Oh. | 0.0000
ACWT01a_144.813_2.78.wav | and line walk on the wall |  in a walled girder wall. | 0.8333
ACWT01a_148.061_3.7.wav | yes oh god i loved it |  Yes, oh god, I loved it. | 0.0000
ACWT01a_15.731_4.28.wav | i yeah you know so |  I, yeah. | 0.6000
ACWT01a_152.289_4.61.wav | yes oh oh just amazing |  Yes, oh, oh, just amazing. | 0.0000
ACWT01a_157.36_1.95.wav | oh just amazing |  Oh, just amazing. | 0.0000
ACWT01a_160.197_1.71.wav | oh i just oh |  Oh, I just... | 0.2500
ACWT01a_162.535_0.23.wav | yeah |  Yeah. | 0.0000
ACWT01a_165.221_1.46.wav | oh yes |  Oh, yes. | 0.0000
ACWT01a_191.636_1.11.wav | kicking the ball |  Picking the ball. | 0.3333
ACWT01a_193.596_2.11.wav | window |  and our window. | 2.0000
ACWT01a_196.847_6.35.wav | accident window broken |  access to window | 1.0000
ACWT01a_205.24_3.45.wav | and it's all big yeah |  and it's all very, yeah. | 0.2000
ACWT01a_209.475_5.31.wav | and the window broken and a ball yeah |  and then Mindo broke and Paul—yeah. | 0.7500
ACWT01a_230.121_5.22.wav | oh i |  I | 0.5000
ACWT01a_24.786_8.33.wav | yes it's two thousand two days |  Yes, it's two thousand two days | 0.0000
ACWT01a_241.592_0.44.wav | no |  Uh, | 1.0000
ACWT01a_243.646_1.54.wav | i don't want it |  I don't know it. | 0.2500
ACWT01a_246.814_0.9.wav | hmhm |  Mmm. | 1.0000
ACWT01a_248.8_2.29.wav | and rain |  and rain. | 0.0000
ACWT01a_251.755_3.58.wav | yes rain rain rain |  Yes, rain, rain, rain. | 0.0000
ACWT01a_256.156_1.081.wav | yes oh no |  Oh no! | 0.3333
ACWT01a_257.64_2.78.wav | no no no |  No, no, no. | 0.0000
ACWT01a_261.625_7.421.wav | yes mother looking at son |  Yes, they're looking at sun. | 0.4000
ACWT01a_269.467_3.5.wav | and son gets a umbrella |  in Shenbrook, Delaware. | 1.0000
ACWT01a_295.803_9.16.wav | cat up the tree |  Yeah. Cat up the tree. | 0.2500
