folder,file_name,prediction,reference
ACWT,ACWT01a_9.96_2.41.wav," Yeah, well.",yeah well
ACWT,ACWT01a_15.731_4.28.wav," I, yeah, yeah. Ta-da, ta-da.",i yeah you know so
ACWT,ACWT01a_24.786_8.33.wav," Yes, in 2002 days,",yes it's two thousand two days
ACWT,ACWT01a_33.725_0.3.wav, Yeah.,no
ACWT,ACWT01a_34.8_6.92.wav," After New Year's Day, 2000,",after new year's day two thousand
ACWT,ACWT01a_51.986_4.26.wav, I don't remember.,i don't remember
ACWT,ACWT01a_56.47_3.56.wav, I don't remember.,i don't remember
ACWT,ACWT01a_68.972_6.6.wav, Oh yeah.,oh yeah
ACWT,ACWT01a_78.683_4.05.wav, I have aphasia.,i aphasia aphasia
ACWT,ACWT01a_82.936_2.57.wav," Oh, yes, yes, yes.",oh yes yes yes
ACWT,ACWT01a_116.781_0.86.wav, Yes.,oh yes
ACWT,ACWT01a_118.178_6.55.wav," no, Turkey and China.",turkey to china
ACWT,ACWT01a_126.379_0.5.wav, China.,china
ACWT,ACWT01a_127.379_3.55.wav," Oh, oh yes.",oh oh yes
ACWT,ACWT01a_131.441_7.8.wav, I brought the child to the hospital.,up at beijing
ACWT,ACWT01a_142.142_2.17.wav, Yes. Yes.,yes yes oh
ACWT,ACWT01a_144.813_2.78.wav," and walled, girdled a wall.",and line walk on the wall
ACWT,ACWT01a_148.061_3.7.wav," Yes. Oh, God, I loved it.",yes oh god i loved it
ACWT,ACWT01a_152.289_4.61.wav," Yes, oh, oh, just amazing.",yes oh oh just amazing
ACWT,ACWT01a_157.36_1.95.wav, are just amazing.,oh just amazing
ACWT,ACWT01a_160.197_1.71.wav," I just, oh.",oh i just oh
ACWT,ACWT01a_165.221_1.46.wav, Oh yes.,oh yes
ACWT,ACWT01a_191.636_1.11.wav, Picking the ball.,kicking the ball
ACWT,ACWT01a_193.596_2.11.wav, Jim Bindo.,window
ACWT,ACWT01a_196.847_6.35.wav," actually, you know, Mendo",accident window broken
ACWT,ACWT01a_205.24_3.45.wav," And it's all big, yeah.",and it's all big yeah
ACWT,ACWT01a_209.475_5.31.wav, and then Mendelbrock and Paul.,and the window broken and a ball yeah
ACWT,ACWT01a_230.121_5.22.wav," Well, no.",oh i
ACWT,ACWT01a_241.592_0.44.wav," uh,",no
ACWT,ACWT01a_243.646_1.54.wav, I don't know it.,i don't want it
ACWT,ACWT01a_246.814_0.9.wav, Mmm.,hmhm
ACWT,ACWT01a_248.8_2.29.wav, and rain.,and rain
ACWT,ACWT01a_251.755_3.58.wav," Yes, rain, rain, rain.",yes rain rain rain
ACWT,ACWT01a_256.156_1.081.wav," Oh, no.",yes oh no
ACWT,ACWT01a_257.64_2.78.wav," No, no, no.",no no no
ACWT,ACWT01a_261.625_7.421.wav," Yes, because they're looking at Sun.",yes mother looking at son
ACWT,ACWT01a_269.467_3.5.wav, and.,and son gets a umbrella
ACWT,ACWT01a_295.803_9.16.wav, Cat up the tree.,cat up the tree
ACWT,ACWT01a_307.328_4.55.wav," darling dog, cat, cat and a tree.",darling get cat out the tree
ACWT,ACWT01a_313.148_3.66.wav," our broken fence, broken fence.",ladder broken
ACWT,ACWT01a_317.137_3.25.wav, And there's a laughter tree.,there's a up the tree
ACWT,ACWT01a_321.51_9.35.wav," G, um, sharpie, no, uh, hmm.",tree barking no
ACWT,ACWT01a_331.494_5.46.wav, Yeah.,oh barking yeah
