reference_transcriptions,generated_transcriptions
yeah well," Yeah, well."
i yeah you know so," I, yeah. Yeah. Ta-da, ta-da. Ha ha ha. That's it."
yes it's two thousand two days," Yes, it's two thousand two days."
no, Yeah.
after new year's day two thousand," After New Day, 2000,"
i don't remember," I don't know, Bamboo."
i don't remember, I don't remember.
oh yeah, Oh yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah.
i aphasia aphasia," I have phasor, a phasor."
oh yes yes yes," Oh, yes, yes, yes."
oh yes, Yes.
turkey to china," No, Terracotta China."
china, China.
oh oh yes," Oh, oh, yes."
up at beijing," I thought, you know,"
yes yes oh," Yes, yes."
and line walk on the wall, in a walled girder wall.
yes oh god i loved it," Yes, oh God, I loved it."
yes oh oh just amazing," Yes, oh, oh, just amazing."
oh just amazing," Oh, just amazing."
oh i just oh," Oh, I just..."
oh yes," Oh, yes."
kicking the ball, Picking the ball.
window, our window.
accident window broken, access to window.
and it's all big yeah," and it's all very, yeah."
and the window broken and a ball yeah," and then Mindo broke it and Paul, yeah."
oh i, I'm going to go now.
no, uh
i don't want it, I don't know it.
hmhm, Mmm.
and rain, and rain.
yes rain rain rain," Yes, rain, rain, rain."
yes oh no, Oh no.
no no no," No, no, no."
yes mother looking at son," Yes, they're looking at sun."
and son gets a umbrella," and she said, we're going to be having a beer."
cat up the tree, Yeah. Cat up the tree.
darling get cat out the tree," Darling, don't get out of the tree."
ladder broken," are broken, uh, fence broken."
there's a up the tree, and there's a laughter tree.
tree barking no," G, sharp it now."
oh barking yeah," So, uh, yeah."
andgets mother to down the tree," And the other, no, Senator gets Mother to hand down the tree."
well cinderella was a poor child in in," Well, Cinderella was a poor child in—"
oh god," Oh, God."
cinderella poor child in in," Cinderella, more child and bird."
to do many things in, I'd be to do anything.
and, and
oh god," Oh, God."
oh and you," Oh, and you, uh..."
troll child in stepchildren, a troll child and a deaf children.
oh god," Oh, God."
stepchildren wanted to go to dance," um, chapter than wanted to do today."
and beautiful, beautiful da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da
and cinderella weren't sure of about going to dance," and it's really very true, at least, you know, about 10 to 10."
and and," Um, and there are"
oh god i just," Oh God, I just..."
she got to go to the dance in shoes and, She got to go to the dance and choose and—
oh god," Oh, god."
oh god, Oh god.
dance and yeah, and see then what happened.
and she was dancing around midnight, and she was dancing around at midnight.
and she supposed to be somewhere else, and she goes to be somewhere else.
and and she put her foot in the, And she put her foot in the glasses.
so, Thank you.
