speaker,folder,file_name,prediction,reference
ACWT01a,ACWT,ACWT01a_9.96_2.41.wav," Yeah, well.",yeah well
ACWT01a,ACWT,ACWT01a_15.731_4.28.wav," I, yeah. Yeah. Ta-da, ta-da.",i yeah you know so
ACWT01a,ACWT,ACWT01a_24.786_8.33.wav, Yes. It's 2002 days.,yes it's two thousand two days
ACWT01a,ACWT,ACWT01a_33.725_0.3.wav, Yeah.,no
ACWT01a,ACWT,ACWT01a_34.8_6.92.wav," After New Year's Day, 2013,",after new year's day two thousand
ACWT01a,ACWT,ACWT01a_51.986_4.26.wav, I don't remember.,i don't remember
ACWT01a,ACWT,ACWT01a_56.47_3.56.wav, I don't remember.,i don't remember
ACWT01a,ACWT,ACWT01a_68.972_6.6.wav, Oh yeah.,oh yeah
ACWT01a,ACWT,ACWT01a_78.683_4.05.wav, I have...phasia. Arphasia.,i aphasia aphasia
ACWT01a,ACWT,ACWT01a_82.936_2.57.wav," Oh, yes, yes, yes.",oh yes yes yes
ACWT01a,ACWT,ACWT01a_116.781_0.86.wav, Yes.,oh yes
ACWT01a,ACWT,ACWT01a_118.178_6.55.wav," uh, no, uh, uh, Turkey and China.",turkey to china
ACWT01a,ACWT,ACWT01a_126.379_0.5.wav, China.,china
ACWT01a,ACWT,ACWT01a_127.379_3.55.wav," Oh, oh yes.",oh oh yes
ACWT01a,ACWT,ACWT01a_131.441_7.8.wav," I'll put, yeah, uh, uh, uh,",up at beijing
ACWT01a,ACWT,ACWT01a_142.142_2.17.wav," Yes, yes.",yes yes oh
ACWT01a,ACWT,ACWT01a_144.813_2.78.wav," in wall, go to the wall.",and line walk on the wall
ACWT01a,ACWT,ACWT01a_148.061_3.7.wav," Yes, oh God, I loved it.",yes oh god i loved it
ACWT01a,ACWT,ACWT01a_152.289_4.61.wav," Yes, oh, oh, just amazing.",yes oh oh just amazing
ACWT01a,ACWT,ACWT01a_157.36_1.95.wav," Oh, just amazing.",oh just amazing
ACWT01a,ACWT,ACWT01a_160.197_1.71.wav," Oh, I just, oh.",oh i just oh
ACWT01a,ACWT,ACWT01a_165.221_1.46.wav, Oh yes!,oh yes
